herb_id,herb_name_sinhala,herb_name_english,herb_name_latin,family,synonyms,treatment_for,parts_used_in_treatment,description,dosage,contraindications,compounds,native_distribution,conservation_status,edible_parts,medical_properties,source,source_type
SLH-0490,Kisidena,wet-zone medick,Herbaphyton umbrosa var. minor,Fabaceae,Kisidena kola; wet-zone medick,skin diseases; headache; joint pain; oral health,seeds,"wet-zone medick (Herbaphyton umbrosa var. minor), known in Sinhala as Kisidena, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, headache, joint pain, oral health. The seeds are the most commonly used part, usually prepared as a powder. Reported properties include immunomodulatory, carminative activity.","Dried seeds powder: 3-5 g with warm water, once daily. ",May cause allergic skin reaction in sensitive individuals; Prolonged high-dose use may cause loose stools; Use with caution in liver disease,glycosides; saponins; essential oils; rutin; stigmasterol,Home gardens island-wide,Least Concern,leaves (as mallum),immunomodulatory; carminative; hypotensive; demulcent,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0491,Welaaru,coastal spurge,Monsoonia umbrosa var. major,Malvaceae,Welaaru kola; coastal spurge,lactation support; menstrual disorders; heart health; oedema,leaves,"coastal spurge (Monsoonia umbrosa var. major), known in Sinhala as Welaaru, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for lactation support, menstrual disorders, heart health, oedema. The leaves are the most commonly used part, usually prepared as a porridge (kola kanda). Reported properties include antifungal, laxative activity.","Herbal porridge (kola kanda) prepared with fresh leaves, consumed as breakfast 2-3 times weekly. ",May enhance the effect of antidiabetic medication; monitor blood sugar; Use with caution while breastfeeding,iridoids; phenolic acids; lignans; rutin; vanillic acid,Coastal areas,Data Deficient,fruits,antifungal; laxative; antibacterial; expectorant,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0492,Kiniwila,monsoon milkweed,Insularia amara var. major,Zingiberaceae,,menstrual disorders; sinusitis; insomnia,leaves; tubers,"monsoon milkweed (Insularia amara var. major), known in Sinhala as Kiniwila, is a medicinal plant of the family Zingiberaceae recorded in Sri Lankan traditional medicine. It is traditionally used for menstrual disorders, sinusitis, insomnia. The leaves are the most commonly used part, usually prepared as a decoction. Reported properties include antioxidant, demulcent activity.","Decoction of leaves: 30 ml, once daily after meals. ",May cause gastric irritation in high doses; Use with caution in chronic kidney disease,flavonoids; coumarins; quercetin,Central highlands,Data Deficient,none recorded,antioxidant; demulcent; astringent; antifungal,Traditional Ayurveda Compendium of Sri Lanka ,traditional_text
SLH-0493,Dinauda,wild betony,Tropicophyton rotundifolia var. major,Acanthaceae,Dinauda kola; wild betony,high cholesterol; inflammation; arthritis; cough,leaves; rhizome; roots,"wild betony (Tropicophyton rotundifolia var. major), known in Sinhala as Dinauda, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for high cholesterol, inflammation, arthritis, cough. The leaves are the most commonly used part, usually prepared as a paste. Reported properties include antifungal, astringent activity.",External use only: apply paste of leaves to the affected area 1-2 times daily. ,Avoid with anticoagulant medication,essential oils; coumarins; chlorogenic acid,Island-wide,Data Deficient,leaves (as mallum),antifungal; astringent; demulcent,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0494,Tilaliya,highland figwort,Ayurvedia officinarum var. major,Apocynaceae,,cold and flu; liver disorders; asthma,tender shoots; latex,"highland figwort (Ayurvedia officinarum var. major), known in Sinhala as Tilaliya, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cold and flu, liver disorders, asthma. The tender shoots are the most commonly used part, usually prepared as a herbal tea. Reported properties include antibacterial, demulcent activity.","Herbal tea: steep 2 tsp of dried tender shoots in hot water, drink twice daily. ",May enhance the effect of antidiabetic medication; monitor blood sugar; Avoid with anticoagulant medication,iridoids; coumarins; polysaccharides; gallic acid,Dry zone,Data Deficient,fruits,antibacterial; demulcent; nervine tonic; laxative,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0495,Kawimala,wet-zone pepperbush,Zeylandra latifolia var. insularis,Moraceae,Kawimala kola; wet-zone pepperbush,general debility; lactation support; flatulence,gum; leaves; rhizome,"wet-zone pepperbush (Zeylandra latifolia var. insularis), known in Sinhala as Kawimala, is a medicinal plant of the family Moraceae recorded in Sri Lankan traditional medicine. It is traditionally used for general debility, lactation support, flatulence. The gum are the most commonly used part, usually prepared as a decoction. Reported properties include antibacterial, carminative activity.","Decoction of gum: 30 ml, twice daily after meals. ",Avoid during pregnancy unless advised by a qualified practitioner,polysaccharides; glycosides; ursolic acid,Sinharaja periphery,Least Concern,tender shoots,antibacterial; carminative,Indigenous Medicine Field Notes Vol. II ,traditional_text
SLH-0496,Hetuliya,forest spurge,Herbaphyton littoralis var. major,Fabaceae,,urinary stones; gastritis,roots; flowers; leaves,"forest spurge (Herbaphyton littoralis var. major), known in Sinhala as Hetuliya, is a medicinal plant of the family Fabaceae recorded in Sri Lankan traditional medicine. It is traditionally used for urinary stones, gastritis. The roots are the most commonly used part, usually prepared as a powder. Reported properties include laxative, analgesic activity.","Dried roots powder: 3-5 g with warm water, twice daily. ",May interact with antihypertensive medication; Prolonged high-dose use may cause loose stools; Use with caution in chronic kidney disease,lignans; phenolic acids; flavonoids; rutin,Central highlands,Vulnerable,seeds (after processing),laxative; analgesic; expectorant; hepatoprotective,Medicinal Plants Reference Database ,database
SLH-0497,Ruhawala,lowland spurge,Monsoonia cordata var. insularis,Annonaceae,,skin diseases; fever; wound healing,seeds; leaves; whole plant,"lowland spurge (Monsoonia cordata var. insularis), known in Sinhala as Ruhawala, is a medicinal plant of the family Annonaceae recorded in Sri Lankan traditional medicine. It is traditionally used for skin diseases, fever, wound healing. The seeds are the most commonly used part, usually prepared as a fresh juice. Reported properties include hepatoprotective, antibacterial activity.",Fresh juice of seeds: 15-30 ml daily on an empty stomach. ,Use with caution in liver disease; May enhance the effect of antidiabetic medication; monitor blood sugar; Use with caution in chronic kidney disease,tannins; iridoids; kaempferol; rutin,Coastal areas,Vulnerable,seeds (after processing),hepatoprotective; antibacterial; nervine tonic; antifungal,Ethnobotanical Research Archive ,research_paper
SLH-0498,Kolugoda,sacred figwort,Vireophyllum montana var. montana,Apocynaceae,Kolugoda kola; sacred figwort,insomnia; cold and flu,whole plant; roots,"sacred figwort (Vireophyllum montana var. montana), known in Sinhala as Kolugoda, is a medicinal plant of the family Apocynaceae recorded in Sri Lankan traditional medicine. It is traditionally used for insomnia, cold and flu. The whole plant are the most commonly used part, usually prepared as a herbal tea. Reported properties include antioxidant, expectorant activity.","Herbal tea: steep 1 tsp of dried whole plant in hot water, drink once daily. ",Prolonged high-dose use may cause loose stools; Use with caution in liver disease,alkaloids; iridoids; beta-sitosterol,Home gardens island-wide,Near Threatened,seeds (after processing),antioxidant; expectorant,Medicinal Plants Reference Database ,database
SLH-0499,Gomagala,sacred medick,Ceylonia viridis var. minor,Acanthaceae,,rheumatism; anaemia; burns,seeds,"sacred medick (Ceylonia viridis var. minor), known in Sinhala as Gomagala, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for rheumatism, anaemia, burns. The seeds are the most commonly used part, usually prepared as a capsule. Reported properties include carminative, anthelmintic activity.",Standardised extract capsule: 500 mg once daily. ,Avoid immediately before surgery; Avoid with anticoagulant medication; Avoid during pregnancy unless advised by a qualified practitioner,saponins; tannins; ellagic acid,Intermediate zone,Common (cultivated),none recorded,carminative; anthelmintic,Medicinal Plants Reference Database ,database
SLH-0500,Kelukola,Ceylon balmwort,Monsoonia angustifolia var. montana,Zingiberaceae,Kelukola kola; ceylon balmwort,cold and flu; high cholesterol; sinusitis,stem; leaves; seeds,"Ceylon balmwort (Monsoonia angustifolia var. montana), known in Sinhala as Kelukola, is a medicinal plant of the family Zingiberaceae recorded in Sri Lankan traditional medicine. It is traditionally used for cold and flu, high cholesterol, sinusitis. The stem are the most commonly used part, usually prepared as a decoction. Reported properties include antioxidant, expectorant activity.","Decoction of stem: 90 ml, twice daily after meals. ",Use with caution while breastfeeding; Avoid during pregnancy unless advised by a qualified practitioner; Avoid with anticoagulant medication,iridoids; polysaccharides; apigenin,Sinharaja periphery,Near Threatened,seeds (after processing),antioxidant; expectorant; antitussive; antifungal,Community Ayurveda Practitioner Interviews ,expert_interview
SLH-0501,Diwiuda,forest figwort,Sinhaflora officinarum var. littoralis,Euphorbiaceae,Diwiuda kola; forest figwort,anxiety; jaundice; indigestion,flowers,"forest figwort (Sinhaflora officinarum var. littoralis), known in Sinhala as Diwiuda, is a medicinal plant of the family Euphorbiaceae recorded in Sri Lankan traditional medicine. It is traditionally used for anxiety, jaundice, indigestion. The flowers are the most commonly used part, usually prepared as a fresh juice. Reported properties include diuretic, analgesic activity.",Fresh juice of flowers: 10-15 ml daily on an empty stomach. ,May cause gastric irritation in high doses; Not recommended for children under 5 years,phenolic acids; iridoids; rutin; quercetin,Sabaragamuwa region,Common (cultivated),tender shoots,diuretic; analgesic; astringent,Sri Lanka Herbal Knowledge Survey Records ,field_survey
SLH-0502,Pimaliya,dry-zone spurge,Insularia viridis var. littoralis,Malvaceae,Pimaliya kola; dry-zone spurge,oral health; anaemia,stem; gum; latex,"dry-zone spurge (Insularia viridis var. littoralis), known in Sinhala as Pimaliya, is a medicinal plant of the family Malvaceae recorded in Sri Lankan traditional medicine. It is traditionally used for oral health, anaemia. The stem are the most commonly used part, usually prepared as a oil preparation. Reported properties include hypotensive, antispasmodic activity.",Oil preparation of stem for external application. ,Avoid with anticoagulant medication; Use with caution in chronic kidney disease; Prolonged high-dose use may cause loose stools,saponins; phenolic acids; tannins; kaempferol; ursolic acid,Intermediate zone,Common (cultivated),none recorded,hypotensive; antispasmodic; astringent,Medicinal Plants Reference Database ,database
SLH-0503,Taduriya,highland pepperbush,Heliobotrys zeylanica var. littoralis,Acanthaceae,,eye health; ringworm; memory improvement,latex,"highland pepperbush (Heliobotrys zeylanica var. littoralis), known in Sinhala as Taduriya, is a medicinal plant of the family Acanthaceae recorded in Sri Lankan traditional medicine. It is traditionally used for eye health, ringworm, memory improvement. The latex are the most commonly used part, usually prepared as a capsule. Reported properties include antidiabetic, antipyretic activity.",Standardised extract capsule: 250 mg once daily. ,Not recommended for children under 5 years; May cause allergic skin reaction in sensitive individuals; Avoid during pregnancy unless advised by a qualified practitioner,saponins; anthraquinones; tannins; ellagic acid; apigenin,Island-wide,Least Concern,none recorded,antidiabetic; antipyretic; antispasmodic; laxative,Ethnobotanical Research Archive ,research_paper
